name,longitude,latitude,postcode,suburb
COMO PARK,145.003940000445,-37.8360399993877,3141,South Yarra
BEAUTY PARK,145.123659999496,-38.1487899987645,3199,Frankston
BECKETT PARK,145.092350000084,-37.8105599989401,3103,Balwyn
VICTORIA MILL SCENIC RESERVE,143.228479999456,-37.2642899988233,3377,Mount Cole
VICTORIA PARK,143.823820000504,-37.5643699986732,3350,Newington
TIMBEROO FOREST RESERVE,142.160149999693,-35.1881799989646,3490,Ouyen
HIGHVIEW PARK,145.167689999586,-37.8640499994953,3150,Glen Waverley
HINNOMUNJIE RECREATION RESERVE,147.673019999525,-37.0061599994072,3900,Benambra
RIVIERA PARK,145.13237000021,-38.0870699989671,3198,Seaford
ROBERT BRUCE RESERVE,144.776260000161,-37.7537399993319,3023,Deer Park
ROBERT HEATLEY RESERVE,144.892339999539,-37.7896799989065,3011,Footscray
ROBERTSON RECREATION RESERVE,145.123480000509,-38.3903999993986,3926,Balnarring Beach
J ROBINSON RESERVE,144.959309999581,-37.7470699990984,3058,Coburg
REGENTS PARK,145.109060000059,-38.0317599991643,3195,Aspendale
REEDS PICNIC AREA,142.448280000421,-37.1444599993455,3401,Zumsteins
GORDON O'KEEFFE RESERVE,144.628479999455,-37.9040099992682,3030,Werribee
GOULBURN PARK CARAVAN PARK,145.131529999937,-37.0306799994487,3660,Seymour
LOWER TEMPLESTOWE RESERVE,145.105140000096,-37.7684599994393,3107,Templestowe Lower
SEBASTOPOL OVAL,143.843480000413,-37.6034599992466,3356,Sebastopol
HISTORIC PINDI MILL SITE PICNIC AREA,145.555419999623,-37.4778999989977,3777,Toolangi
DEMPSTER PARK,144.837810000216,-37.7752099987134,3020,Sunshine North
DENDY PARK,145.023379999472,-37.9255499993754,3187,Brighton East
DENZIL DON RESERVE,144.938970000397,-37.7648399988118,3055,Brunswick West
RESERVOIR RESERVE,145.05822999962,-37.8110499986856,3101,Kew
RICHARDS RESERVE,144.955580000363,-37.7295799987696,3058,Coburg North
PARLIAMENT GARDENS,144.973500000415,-37.8098299993179,3002,East Melbourne
J.R. PARSONS RESERVE,144.835419999642,-37.7942899987404,3020,Sunshine
COAL CREEK HISTORICAL PARK,145.834589999562,-38.4440099990105,3950,Korumburra
R K RICHARDS RESERVE,144.78161000013,-37.8829299989576,3028,Altona Meadows
DEVILBEND GOLF COURSE,145.109309999784,-38.2703999990336,3933,Moorooduc
BLACK FLAT,145.235420000534,-37.7342899989425,3113,Warrandyte
NEWTOWN PARK,144.321530000076,-38.1559599993543,3220,Newtown
LOGAN PARK,145.935209999647,-38.1689499991946,3820,Warragul
LOGAN RESERVE,144.830619999741,-37.8703199991688,3018,Altona
S GANDOLFO GARDENS,144.962639999712,-37.7526299993864,3058,Coburg
GARDEN SQUARE,145.160979999521,-38.3920699988998,3927,Somers
GARDINER PARK,145.049320000534,-37.8512499993903,3146,Glen Iris
GARDINERS CREEK RESERVE,145.102639999911,-37.8676299989217,3147,Ashwood
FREDERICK MORETON RESERVE,144.332369999464,-38.1662399991982,3217,Mount Duneed
FREEWAY RESERVE,145.168690000178,-37.9179999987674,3170,Mulgrave
FRANK GIBSON RESERVE,144.769090000239,-37.8609299991139,3028,Laverton
FRANK JONES RESERVE,147.058949999743,-38.0998799990218,3850,Sale
FRANKSTON CARAVAN PARK,145.140419999595,-38.1745699987922,3199,Frankston South
FRANKSTON PARK,145.120419999972,-38.1470699991433,3199,Frankston
FRASER NATIONAL PARK,145.830140000281,-37.1515099987164,3714,Devils River
FRASER RESERVE,145.354030000211,-37.8028999990306,3765,Montrose
R J FRASER RESERVE,144.936260000077,-37.7556799990657,3055,Brunswick West
GALVIN PARK,144.650579999639,-37.8864599991616,3030,Werribee
GARFIELD RECREATION RESERVE,145.677879999618,-38.0953599989216,3814,Garfield
GARY GREELISH OVAL,144.899589999709,-37.8137399987459,3013,Yarraville
GASKIN PARK RESERVE,146.408200000369,-38.3095699988045,3842,Churchill
GAUDION RESERVE,144.869470000226,-37.7961699991676,3012,West Footscray
FROG HOLLOW RESERVE,145.271849999786,-37.9925199986398,3802,Endeavour Hills
H W FOLETTA RESERVE,144.965219999966,-37.772149999376,3056,Brunswick
CENTENARY PARK,145.067560000297,-37.9265799989162,3165,Bentleigh East
CENTENARY PARK PUBLIC GOLF COURSE,145.176810000274,-38.1273499992536,3200,Frankston North
CENTENARY PARK,145.175500000449,-38.1388099988329,3200,Frankston North
CENTRAL GARDENS,145.041460000166,-37.8212199988276,3122,Hawthorn
GEORGE BATES RESERVE,146.345189999485,-38.1584199994675,3825,Yallourn North
GEORGE GRIFFIN RESERVE,144.89376000004,-37.8131799994007,3013,Yarraville
GEORGE PENTLAND GARDENS,145.129590000302,-38.1526299987187,3199,Frankston
R J PHELAN RESERVE,144.232379999629,-36.2108799988505,3573,Mitiamo
THE 100 ACRES,145.224309999809,-37.7748499994487,3114,Park Orchards
THE ALBERT RICHARDSON RESERVE,144.260149999604,-36.7570699988495,3550,Ironbark
PHILLIP STOKES PLANTATION,144.913199999909,-37.7487399994065,3040,Essendon
CENTRAL PARK,145.104550000317,-37.7158799988685,3088,Greensborough
VICTORY PARK,144.912350000489,-37.7795699987012,3032,Ascot Vale
VIEW BANK RESERVE,145.093479999848,-37.7412399991054,3084,Viewbank
VIVA STREET RESERVE,145.040929999487,-37.8615499989869,3146,Glen Iris
CREIGHTONS CREEK RECREATION RESERVE,145.528229999665,-36.8793099991004,3666,Creightons Creek
CRINIGAN ROAD NORTH RESERVE,146.428729999797,-38.2166399988633,3840,Morwell
CRINIGAN ROAD PUBLIC RESERVE,146.422639999889,-38.2140499988821,3840,Morwell
PATTERSON PARK,147.854309999912,-37.8887399993884,3904,Metung
PAUL HUCKIN PARK,144.936370000542,-37.7518899986662,3044,Pascoe Vale South
PAULINE TONER BUTTERFLY RESERVE,145.164269999965,-37.7176899992842,3095,Eltham
CRISPE PARK,144.997559999669,-37.7219499989044,3073,Reservoir
TARWIN RECREATION RESERVE,145.866529999676,-38.705679998644,3956,Tarwin Lower
TATE RESERVE,144.979590000435,-37.748179999127,3058,Coburg
PICOLA RECREATION RESERVE,145.109600000091,-35.9968499987392,3639,Picola
WA Wurrong Reserve,145.215060000372,-37.8043499991805,3134,Ringwood North
WABONGA PLATEAU PARK,146.48570000035,-36.9551299991657,3678,Cheshunt South
BAULKAMAUGH RECREATION RESERVE,145.391260000062,-36.0590099992176,3636,Numurkah
BAW BAW ALPINE RESERVE,146.27486999962,-37.8445699990635,3833,Baw Baw
BAW BAW NATIONAL PARK,146.319029999603,-37.8717899991085,3833,Baw Baw
BAYSWATER ROAD PARK,144.923780000091,-37.7937199988459,3031,Kensington
PENDERS PARK,145.00729999963,-37.7546099991437,3071,Thornbury
PENGUIN ROOKERY RESERVE,145.150140000161,-38.5106799994045,3922,Summerlands
PENINSULA COUNTRY GOLF CLUB,145.152919999848,-38.1295699986763,3199,Frankston
FRANK STREET RESERVE,145.14463999973,-38.1407699989814,3199,Frankston
PENINSULA RESERVE,145.14463999973,-38.1407699989814,3199,Frankston
PENNELL RESERVE,144.851369999905,-37.7763399986663,3019,Braybrook
PENNINGTON RESERVE,144.343199999581,-36.6534099993761,3551,Huntly
PERCE ALLISON OVAL,145.368200000041,-38.0401299988153,3807,Beaconsfield
PERCY TREWIN RESERVE,145.30944000023,-38.0255599988314,3805,Narre Warren
PERCY TREYVAUD MEMORIAL PARK,145.080189999789,-37.8826599986709,3145,Malvern East
MACARTHUR SQUARE,144.971570000283,-37.7983699990096,3053,Carlton
CHIRNSIDE RESERVE,144.391260000293,-38.0206799993122,3212,Lara
SEA LAKE RECREATION RESERVE,142.857000000327,-35.5102899995631,3533,Sea Lake
SHELIS RESERVE,144.939590000525,-37.7601299987229,3055,Brunswick West
SELBY PARK,145.369200000246,-37.9134399992064,3159,Selby
SELWYN PARK,144.813590000012,-37.7820299989651,3020,Albion
EDWARD HUNTER HERITAGE BUSHLAND RESERVE,146.261259999519,-38.1931799986574,3825,Moe
EDWIN FLACK RESERVE,145.365019999474,-38.0288099989462,3806,Berwick
EGLINTON RESERVE,145.039040000062,-37.7996999986815,3101,Kew
BULGA NATIONAL PARK,146.576260000354,-38.4209599991339,3971,Balook
M B LYNCH GARDENS,144.833480000293,-37.7798499987641,3020,Sunshine
LYNDEN PARK,145.086739999712,-37.8437499992613,3124,Camberwell
WESTERN PORT STATE WILDLIFE RESERVE,145.290699999788,-38.2398499989128,3912,Pearcedale
WESTGATE PARK,144.910420000312,-37.831789998866,3207,Port Melbourne
WESTLANDS,146.856810000087,-36.1276299993897,3690,West Wodonga
WYCHITELLA FLORA & FAUNA RESERVE,143.614870000068,-36.3509599993647,3518,Wedderburn
LORNA WILSON RESERVE,145.295139999747,-38.0126199994263,3805,Narre Warren
KIRSTY LOTTKOWITZ RESERVE,145.32764000016,-38.0223499991081,3806,Berwick
WIRIDJIL RECREATION RESERVE,143.150620000092,-38.620849998756,3268,Cooriemungle
WONDERLAND TURNTABLE,142.503479999647,-37.1503999991585,3381,Halls Gap
WONGA FLORA AND FAUNA RESERVE,143.497919999545,-38.507899999323,3239,Gellibrand
KALORAMA MEMORIAL RESERVE,145.379569999645,-37.8164499993759,3766,Kalorama
KALPARRIN GARDENS,145.100619999816,-37.6985399987524,3088,Greensborough
KAMAROOKA RECREATION RESERVE,144.379020000298,-36.4567199991322,3570,Kamarooka
KAMAROOKA STATE PARK,144.421260000144,-36.5209599990723,3570,Kamarooka
KANANOOK CREEK RESERVE,145.127820000242,-38.0977599993947,3198,Seaford
JOHN COUTTS RESERVE,144.899579999691,-37.6949699991868,3043,Gladstone Park
JOHN EDWIN SCOTT WATER RESERVE,146.244590000483,-36.4698499987572,3675,Glenrowan
JOHN WILTON RESERVE,144.911259999878,-37.6831799991802,3047,Jacana
JOHNSON OVAL,145.041809999845,-37.8484599990062,3144,Malvern
KEEGAN STREET RECREATION RESERVE,146.392090000306,-38.241789999031,3840,Morwell
FOSTERS ROAD RESERVE,144.851260000113,-37.7145699993141,3042,Keilor Park
KEILOR PARK RECREATION RESERVE,144.851260000113,-37.7145699993141,3042,Keilor Park
FINNS RESERVE,145.117570000336,-37.7537199990167,3107,Templestowe Lower
AKOONAH PARK,145.366200000465,-38.0391399987867,3806,Berwick
ALBERT RESERVE,145.061440000521,-37.7621299992145,3084,Eaglemont
ALBERTON RECREATION RESERVE,146.663079999646,-38.617199999351,3971,Alberton
ALEXANDER PARK,145.007510000534,-37.9380799991914,3188,Hampton
ALEXANDRA GARDENS,145.033489999756,-37.8076599991613,3101,Kew
J I STEWART RESERVE,144.791260000386,-37.8673499987328,3028,Altona Meadows
SPRING STREET RESERVE,145.020700000526,-37.9562399989995,3191,Sandringham
TRARALGON SOUTH RECREATION RESERVE,146.540630000551,-38.2945099993219,3844,Traralgon South
TRICIA MAHON RESERVE,144.79930999972,-37.748739999268,3021,Saint Albans
G J  KENNEDY PARK,145.666809999907,-35.9148499991519,3644,Cobram
RAILWAY RESERVE,144.826529999878,-37.7851299992432,3020,Albion
KENNETH GEORGE CHAPLIN RESERVE,144.826529999878,-37.7851299992432,3020,Albion
FERNY CREEK RESERVE,145.346810000201,-37.8748499993789,3787,Sassafras
W B FERRARI PARK,145.350489999757,-36.393859998891,3629,Mooroopna
GLOUCESTER RESERVE,144.886459999969,-37.8679699987692,3016,Williamstown
CONNEWARRE RESERVE,144.398600000442,-38.2650199990402,3227,Connewarre
CONSERVATION HILL WILDLIFE RESERVE,145.296810000199,-38.4598499990406,3923,Rhyll
PETTYS RESERVE,145.151949999806,-37.7607899992263,3106,Templestowe
KOW SWAMP PICNIC RESERVE,144.315700000482,-35.9534599992283,3566,Gunbower
MARNOO PARK,142.95709000038,-36.6667899992759,3477,Marnoo East
MAROONA RECREATION GROUND,142.859589999912,-37.4378999990044,3377,Maroona
MAROXOMS PARK,142.016259999462,-34.2167899992314,3505,Merbein South
JOHN FIELD RESERVE,146.295540000039,-38.1772699987214,3825,Newborough
FIRTH ENVIROMENTAL PARK,144.409589999497,-37.4342899987574,3458,Trentham East
COOK RESERVE,144.922089999544,-37.6967899988291,3046,Glenroy
W E CASH RESERVE,144.976809999748,-37.7240099990618,3058,Coburg
HOLLOW MOUNTAIN PICNIC AREA,142.382649999762,-36.887899999035,3401,Laharum
YARROWEYAH RECREATION GROUND,145.559870000391,-35.9195699988932,3644,Yarroweyah
MIDLANDS GOLF COURSE,143.855419999782,-37.5292899994092,3350,Invermay Park
CLUNES GOLF CLUB,143.752650000016,-37.2845699990238,3370,Clunes
MAFEKING RESERVE,142.575419999556,-37.3740099994204,3379,Mafeking
COHUNA SHOWGROUND,144.221260000273,-35.8103999990541,3568,Cohuna
COLCHESTER PARK,145.165930000506,-38.22563999936,3912,Somerville
S COLE RESERVE,144.940699999585,-37.7206799990538,3044,Pascoe Vale
MERUKA PARK,145.134880000392,-37.7122499993984,3095,Eltham
MECHANICS RESERVE,145.361309999849,-37.8284799992313,3767,Mount Dandenong
CAPE WOOLAMAI STATE FAUNAL RESERVE,145.348760000571,-38.5515099994721,3925,Cape Woolamai
