name,longitude,latitude,postcode,suburb
HEATHERTON PRIMARY SCHOOL,145.102639999603,-37.9584599991409,3202,Heatherton
HEATHMONT EAST PRIMARY SCHOOL,145.257689999471,-37.830329998768,3135,Heathmont
HEDLEY PRIMARY SCHOOL,146.501260000096,-38.6478999987065,3967,Hedley
QUANTONG PRIMARY SCHOOL,142.025149999761,-36.7542899991946,3401,Quantong
RAGLAN PRIMARY SCHOOL,143.347650000012,-37.363459999343,3373,Raglan
RAINBOW PRIMARY SCHOOL,141.995150000089,-35.896239998755,3424,Rainbow
WODONGA PRIMARY SCHOOL,146.889819999654,-36.1291999991014,3690,Wodonga
WODONGA SOUTH PRIMARY SCHOOL,146.894000000531,-36.1396099988533,3690,Wodonga
WODONGA WEST PRIMARY SCHOOL,146.87670999993,-36.1223999988215,3690,Wodonga
WOLLERT PRIMARY SCHOOL,145.027110000312,-37.6113199990449,3750,Wollert
HARKAWAY PRIMARY SCHOOL,145.345179999908,-38.0008399989813,3806,Harkaway
HARRIETVILLE PRIMARY SCHOOL,147.06493999999,-36.8876999993876,3741,Harrietville
HARRISFIELD PRIMARY SCHOOL,145.179900000433,-37.9544299990284,3174,Noble Park
HARSTON PRIMARY SCHOOL,145.141760000161,-36.4698399991744,3616,Harston
HARTWELL PRIMARY SCHOOL,145.084469999789,-37.8480399991014,3124,Camberwell
PRESTON EAST PRIMARY SCHOOL,145.018479999914,-37.7381799994164,3072,Preston
POINT COOK PRIMARY SCHOOL,144.748479999772,-37.9206799992312,3030,Point Cook
RED HILL CONSOLIDATED SCHOOL,144.995270000261,-38.366669999461,3937,Red Hill
SYDENHAM WEST PRIMARY SCHOOL,144.660419999504,-37.6828999988871,3335,Plumpton
DEDERANG PRIMARY SCHOOL,147.015319999978,-36.4692399994604,3691,Dederang
NEERIM DISTRICT RURAL PRIMARY SCHOOL,145.949839999576,-37.9215099989581,3832,Nayook
NEERIM EAST PRIMARY SCHOOL,145.949839999576,-37.9215099989581,3832,Nayook
NEERIM SOUTH PRIMARY SCHOOL,145.955359999989,-38.0152999987581,3831,Neerim South
MALDON PRIMARY SCHOOL,144.065819999804,-36.9950299989414,3463,Maldon
MALLACOOTA PRIMARY SCHOOL,149.756809999614,-37.5576299992543,3892,Mallacoota
BURNLEY PRIMARY SCHOOL,145.010420000029,-37.8281799991924,3121,Burnley
