name,longitude,latitude,postcode,suburb
MACLEOD HIGH SCHOOL,145.070979999614,-37.7245699995198,3085,Macleod
GEELONG GRAMMAR SCHOOL,144.397369999843,-38.0703999988722,3214,Corio
GEELONG HIGH SCHOOL,144.373730000501,-38.153009998915,3219,East Geelong
HEIDELBERG HIGH SCHOOL,145.03958999991,-37.7556799989026,3081,Bellfield
HEIDELBERG TECHNICAL SCHOOL,145.044310000056,-37.7503999989336,3081,Heidelberg West
RICHMOND TECHNICAL COLLEGE,145.000419999899,-37.8170699994509,3121,Richmond
MORNINGTON HIGH SCHOOL,145.040559999632,-38.2305399993881,3931,Mornington
FRANKSTON HIGH SCHOOL,145.128960000488,-38.1621799992148,3199,Frankston
FRANKSTON TECHNICAL COLLEGE,145.127370000407,-38.1437399991857,3199,Frankston
GALVIN PARK SECONDARY COLLEGE,144.653859999858,-37.8889199994683,3030,Werribee
WERRIBEE TECHNICAL SCHOOL,144.653859999858,-37.8889199994683,3030,Werribee
TAWONGA SECONDARY SCHOOL,147.167640000096,-36.7401299988258,3699,Mount Beauty
VICTORIAN RAILWAYS TECHNICAL COLLEGE,144.880140000498,-37.8520699994632,3016,Williamstown North
ASHWOOD SECONDARY COLLEGE,145.103329999796,-37.8645099993476,3147,Ashwood
ASHWOOD HIGH SCHOOL,145.103329999796,-37.8645099993476,3147,Ashwood
UPPER YARRA HIGH SCHOOL,145.623940000432,-37.792079999407,3797,Yarra Junction
UPPER YARRA SECONDARY COLLEGE,145.623940000432,-37.792079999407,3797,Yarra Junction
BALLAM PARK SECONDARY COLLEGE,145.161530000312,-38.145129999058,3199,Frankston
BALLAM PARK TECHNICAL SCHOOL,145.161530000312,-38.145129999058,3199,Frankston
MOORLEIGH HIGH SCHOOL,145.067920000395,-37.936789999021,3165,Bentleigh East
MOORLEIGH SECONDARY COLLEGE,145.067920000395,-37.936789999021,3165,Bentleigh East
CHANDLER SECONDARY COLLEGE,145.159840000311,-37.9669999994121,3174,Springvale South
MOUNT EVELYN SECONDARY COLLEGE,145.384199999456,-37.7748599986859,3796,Mount Evelyn
Wanganui Park High School,145.391900000415,-36.3570299995102,3630,Shepparton
Wanganui Park Secondary College,145.391900000415,-36.3570299995102,3630,Shepparton
CORRYONG SECONDARY COLLEGE,147.911529999731,-36.1920699994911,3707,Corryong
CORRYONG HIGH SCHOOL,147.911529999731,-36.1920699994911,3707,Corryong
KYABRAM SECONDARY COLLEGE,145.054590000107,-36.3173499993131,3620,Kyabram
KYABRAM HIGH SCHOOL,145.054590000107,-36.3173499993131,3620,Kyabram
BAXTER TECHNICAL SCHOOL,145.182369999561,-38.273459999483,3913,Tyabb
MOUNT ERIN SECONDARY COLLEGE,145.182369999561,-38.273459999483,3913,Tyabb
MOUNT EVELYN TECHNICAL SCHOOL,145.384199999456,-37.7748599986859,3796,Mount Evelyn
CROYDON SECONDARY COLLEGE,145.282320000133,-37.7892799988943,3136,Croydon
CROYDON HIGH SCHOOL,145.282320000133,-37.7892799988943,3136,Croydon
LALOR NORTH HIGH SCHOOL,145.034129999455,-37.6607499994794,3076,Epping
WAVERLEY HIGH SCHOOL,145.106259999945,-37.8834599990412,3148,Chadstone
WAVERLEY SECONDARY COLLEGE,145.106259999945,-37.8834599990412,3148,Chadstone
LALOR NORTH SECONDARY COLLEGE,145.034129999455,-37.6607499994794,3076,Epping
LALOR HIGH SCHOOL,145.030629999506,-37.6726499992535,3075,Lalor
LALOR SECONDARY COLLEGE,145.030629999506,-37.6726499992535,3075,Lalor
DANDENONG VALLEY SECONDARY COLLEGE,145.214310000561,-37.9773499989582,3173,Keysborough
DANDENONG TECHNICAL SCHOOL,145.214310000561,-37.9773499989582,3173,Keysborough
COBRAM SECONDARY COLLEGE,145.654130000038,-35.9135899990695,3644,Cobram
COBRAM HIGH SCHOOL,145.654130000038,-35.9135899990695,3644,Cobram
CLEELAND SECONDARY COLLEGE,145.214310000561,-37.9773499989582,3173,Keysborough
CLEELAND HIGH SCHOOL,145.214310000561,-37.9773499989582,3173,Keysborough
BROADMEADOWS WEST TECHNICAL SCHOOL,144.91236999988,-37.6812399992014,3047,Broadmeadows
