name,longitude,latitude
ORCHID GARDEN,143.563199999925,-36.3228999988675
ORNAMENTAL LAKES PARK,142.168489999973,-34.1846799987768
OTWAY NATIONAL PARK,143.54959000015,-38.7373499992587
NIRRANDA SOUTH RECREATION RESERVE,142.801809999779,-38.5362399991734
ARDMONA RECREATION RESERVE,145.29986000019,-36.3846599987364
FRANKLIN CHAPLIN RESERVE,143.875420000183,-36.8353999992596
BRAZENER PARK,143.932090000027,-37.5526299990362
BREE PARK,142.028640000554,-37.7377799991085
BULN BULN RECREATION RESERVE,145.936199999844,-38.0974699992149
BUNARONG PARK,145.157400000534,-38.1574299987925
BUNDALAGUAH RECREATION RESERVE,147.02247000029,-38.0264099991842
TURNER ROAD RESERVE,145.055140000425,-37.9478999990887
BUCKINGHAM PARK,144.917639999799,-38.3778999989672
BUCKLEY NATURE RESERVE,145.090420000393,-38.3412399995063
BUCKLEY PARK,144.896599999671,-37.7442499989717
BRUCE COMBEN RESERVE,144.766079999473,-37.8725699987051
KERGER RESERVE,144.392920000455,-38.2962399993555
KEVIN SHORTEN RESERVE,144.878009999729,-37.7941599988883
KEVIN WHEELAHAN GARDENS,144.838479999864,-37.7862399991588
JOHNSON PARK,145.009480000141,-37.7761799994043
ELSTERNWICK PARK,144.99362999963,-37.8899399992064
ELTHAM LOWER PARK,145.141779999864,-37.7347199986986
ELTHAM NORTH RESERVE,145.15240000037,-37.6949199989559
YARRAMBAT PARK,145.131990000428,-37.6223399988113
WYETH MCNAMARA PARK,145.728199999563,-38.6356799991087
WYLIE RESERVE,144.944080000365,-37.7714899987263
WYNDHAM VALE RESERVE,144.623670000448,-37.8992799991206
WYUNA RECREATION RESERVE,145.055360000504,-36.1962999987618
NULLAWIL RECREATION RESERVE,143.17405000033,-35.8526399991158
EUREKA HISTORIC PARK,143.886260000263,-37.5653999994234
EUREKA STOCKADE,143.88379000026,-37.564949999101
BARRY POWELL ATHLETICS TRACK,145.230419999854,-37.9845699992924
O'POSSUM HISTORIC GOLDFIELD,143.622369999506,-36.4206799988979
OAKLANDS PARK,142.199590000441,-36.7028999994578
NARRAPORT SCHOOL RESERVE,143.335149999677,-35.8776299991158
CARRUM DOWNS RECREATION RESERVE,145.188199999551,-38.0851299988107
PINK LAKES PARK,141.766530000255,-35.0242899993114
PIONEER PARK,143.823460000458,-37.5192099991083
FULTON RESERVE,145.102369999984,-38.1873499988139
FYANS PARK RESERVE,144.322370000151,-38.1587399988892
FOSTER RECREATION RESERVE,146.204819999429,-38.655829998976
SALE PRIMARY SCHOOL,145.189870000189,-38.2970699987182
J A  BABINGTON PARK,145.189870000189,-38.2970699987182
BEAUFORT RECREATION RESERVE,143.3804200004,-37.4398499993124
G R GILPIN RESERVE,144.95180999963,-37.7684599990659
H ROGERS RESERVE,144.938199999875,-37.7267899993505
MILLER PARK,145.306000000401,-37.8474699993482
MILTON GRAY RESERVE,145.035240000073,-37.864519998876
NAR NAR GOON RECREATION RESERVE,145.572790000335,-38.0840799994982
GEORGE TINDALE GARDENS,145.365980000181,-37.8803999993362
CHILTERN VALLEY RECREATION RESERVE,146.545479999756,-36.1429299994581
MYERS CREEK RESERVE,145.517640000495,-37.5851299994617
MEYERS CREEK RESERVE,145.517640000495,-37.5851299994617
MICK JORDAN MEMORIAL GARDEN,144.961129999694,-37.7719699992135
SKIPTON RECREATION RESERVE,143.365629999625,-37.6894199993644
SLATER PARK,143.546190000186,-35.3423199995275
LA TROBE RIVER PICNIC AREA,146.088199999858,-37.9712399992604
FITZROY GARDENS,144.980449999906,-37.8129599990995
PIONEERS RESERVE FOR NATURAL FLORA,145.710699999796,-38.518179998992
ROCKY RANGE STATE FAUNAL RESERVE,148.286809999545,-36.9248499990162
CHILTERN PARK,146.556810000274,-36.1242899992127
JACK KEANE OVAL,142.367090000348,-38.2973499994085
JAMES SWAN RESERVE,142.48460999965,-38.3793999993599
BEN MAJOR FLORA RESERVE,143.393480000075,-37.3087399994064
BEN MORE RESERVE,143.434590000102,-37.2206799990085
BEN NEVIS PICNIC AREA,143.200150000496,-37.2278999994385
W L FLOYD RESERVE,144.863440000159,-37.8406499990584
CHICQUITA PARK,145.074589999558,-37.9842899986795
CEMENT CREEK RESERVE,145.707919999844,-37.7134599991161
HANLON PARK,141.599810000405,-38.3451399986487
GREGSON PARK,141.991219999695,-35.9015899987855
MULBERRY RESERVE,145.160139999589,-38.1153999992133
MULGRAVE RESERVE,145.204029999885,-37.920949999367
MULLUM MULLUM RESERVE,145.238159999709,-37.8049799992193
MALVERN CRICKET GROUND,145.03459000033,-37.8573499993033
MALVERN PUBLIC GARDENS,145.035390000184,-37.8563199990572
SAWPIT PICNIC AREA,141.68680999974,-38.235129999298
SAWYER PARK,142.201820000176,-36.7227099994981
SCOBORIO RESERVE,142.508789999634,-38.3930799988448
MERINDA PARK,145.26830000028,-38.0781199994095
MERRICKS STATION GROUND RESERVE,145.08681000024,-38.3890099991975
MELBOURNE CRICKET GROUND,144.984589999463,-37.8203999991773
BALLAM PARK,145.160530000479,-38.1503799992679
SMITHS BRIDGE PICNIC AREA,143.291530000223,-37.2981799994736
SMITHS MILL PICNIC AREA,142.425699999708,-37.1070699994024
SMITHS PICNIC AREA,142.425980000289,-37.1070699992636
KNOX PARK,145.258339999775,-37.8964599992488
MADDINGLEY PARK,144.436120000051,-37.6847699991517
MAFEKING HILL PARK,146.981810000353,-37.9656799987775
HARTWELL SPORTS GROUND,145.087069999868,-37.8542299990012
DE CHENE RESERVE,144.977879999677,-37.7398699988707
BRIM EAST RECREATION RESERVE,142.561049999882,-36.0979799992491
BRIM GOLF COURSE,142.419310000031,-36.0731799987821
ACACIA PICNIC AREA,145.320419999856,-37.8870699995117
KATE CAMPBELL RESERVE,145.034069999727,-37.7913099992548
