name,longitude,latitude
HARRISFIELD PRIMARY SCHOOL,145.179900000433,-37.9544299990284
HARSTON PRIMARY SCHOOL,145.141760000161,-36.4698399991744
HARTWELL PRIMARY SCHOOL,145.084469999789,-37.8480399991014
PRESTON EAST PRIMARY SCHOOL,145.018479999914,-37.7381799994164
POINT COOK PRIMARY SCHOOL,144.748479999772,-37.9206799992312
RED HILL CONSOLIDATED SCHOOL,144.995270000261,-38.366669999461
SYDENHAM WEST PRIMARY SCHOOL,144.660419999504,-37.6828999988871
DEDERANG PRIMARY SCHOOL,147.015319999978,-36.4692399994604
NEERIM DISTRICT RURAL PRIMARY SCHOOL,145.949839999576,-37.9215099989581
NEERIM EAST PRIMARY SCHOOL,145.949839999576,-37.9215099989581
NEERIM SOUTH PRIMARY SCHOOL,145.955359999989,-38.0152999987581
MALDON PRIMARY SCHOOL,144.065819999804,-36.9950299989414
MALLACOOTA PRIMARY SCHOOL,149.756809999614,-37.5576299992543
BURNLEY PRIMARY SCHOOL,145.010420000029,-37.8281799991924
WHITESIDE PRIMARY SCHOOL,145.14848000005,-37.9384599993526
WHITTINGTON PRIMARY SCHOOL,144.395010000176,-38.1781399993826
QUARRY HILL PRIMARY SCHOOL,144.279979999461,-36.7750999995347
STRATHLEA PRIMARY SCHOOL,143.969029999749,-37.1476299993995
STREATHAM PRIMARY SCHOOL,143.061810000142,-37.6803999987202
STREATHAM & DISTRICT PRIMARY SCHOOL,143.061810000142,-37.6803999987202
AVONDALE PRIMARY SCHOOL,144.860860000109,-37.7678299988271
MALMSBURY PRIMARY SCHOOL,144.386950000401,-37.1872999992434
MORDIALLOC PRIMARY SCHOOL,145.088819999547,-38.0055699992753
MORELAND PRIMARY SCHOOL,144.966480000279,-37.7550499986664
MEADOWBANK PRIMARY SCHOOL,144.929030000111,-37.6878999989515
SPEED PRIMARY SCHOOL,142.442649999505,-35.4012399991515
SKYE PRIMARY SCHOOL,145.201250000083,-38.1176899986987
WON WRON PRIMARY SCHOOL,146.717090000233,-38.4753999992973
WILLOWMAVIN PRIMARY SCHOOL,144.888239999937,-37.2594099988755
Willung Primary School,146.820140000172,-38.2528999993859
NILMA NORTH PRIMARY SCHOOL,145.985700000112,-38.1390099993972
NOBLE PARK NORTH PRIMARY SCHOOL,145.18958999971,-37.9417899993912
GLENTHOMPSON PRIMARY SCHOOL,142.550039999743,-37.6375199990638
LALOR PARK PRIMARY SCHOOL,145.001350000543,-37.6636799988216
LALOR PRIMARY SCHOOL,145.025399999882,-37.6700599995056
MURRAYVILLE PRIMARY SCHOOL,141.18153000011,-35.2628999994877
MURTOA PRIMARY SCHOOL,142.468759999793,-36.6165099993597
KINGSTON PRIMARY SCHOOL,143.954309999471,-37.3795699992219
PANTON HILL PRIMARY SCHOOL,145.239559999436,-37.6415899990384
MURRABIT GROUP SCHOOL,143.950749999894,-35.5288199989693
MURRAYDALE CENTRAL PRIMARY SCHOOL,143.559310000096,-35.280399999118
MURRAY ROAD PRIMARY SCHOOL,146.292090000059,-38.1890099989022
LAKES ENTRANCE PRIMARY SCHOOL,147.994240000506,-37.8759599989091
LAKESIDE PRIMARY SCHOOL,144.979590000197,-37.7095699986492
MONTMORENCY SOUTH PRIMARY SCHOOL,145.129670000188,-37.7249099992997
