stop_id,stop_name,stop_lat,stop_lon,source_file
20294,Beaufort Railway Station (Beaufort),-37.4278749704581,143.382233659237,source_2
20295,Benalla Railway Station (Benalla),-36.5445503105037,145.98391505369,source_2
20296,Bendigo Railway Station (Bendigo),-36.7656697308466,144.283008928887,source_2
20297,Birregurra Railway Station (Birregurra),-38.3288078106571,143.783625214537,source_2
20298,Broadford Railway Station (Broadford),-37.2072004909294,145.043007902139,source_2
20299,Bunyip Railway Station (Bunyip),-38.0991077095838,145.7207574905,source_2
20300,Camperdown Railway Station (Camperdown),-38.2289009107195,143.150927797273,source_2
20301,Castlemaine Railway Station (Castlemaine),-37.0628374463459,144.213799025493,source_2
20302,Chiltern Railway Station (Chiltern),-36.1556366325658,146.611374754963,source_2
20303,Clarkefield Railway Station (Clarkefield),-37.4834976919783,144.745372643395,source_2
20304,Colac Railway Station (Colac),-38.343377918533,143.586653051253,source_2
20305,Corio Railway Station (Corio),-38.0728312611861,144.379768418791,source_2
20306,Dingee Railway Station (Dingee),-36.3692329083264,144.231120340331,source_2
20307,Donnybrook Railway Station (Donnybrook),-37.5425752591184,144.969554917498,source_2
20308,Drouin Railway Station (Drouin),-38.1364519002891,145.85594693234,source_2
20309,Eaglehawk Railway Station (Eaglehawk),-36.7185253927705,144.248379897509,source_2
20310,Echuca Railway Station (Echuca),-36.1309822315545,144.753458663243,source_2
20311,Elmore Railway Station (Elmore),-36.4950200210059,144.607757524605,source_2
20312,Euroa Railway Station (Euroa),-36.7491306043112,145.568088623668,source_2
20313,Garfield Railway Station (Garfield),-38.0910306197691,145.674224718789,source_2
20314,Geelong Railway Station (Geelong),-38.1442421089479,144.354989111821,source_2
20315,Gisborne Railway Station (New Gisborne),-37.4588254969293,144.598721566871,source_2
20316,Heathcote Junction Railway Station (Heathcote Junction),-37.3717134581932,145.028204947133,source_2
20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.7948336350946,144.248990162655,source_2
20318,Kerang Railway Station (Kerang),-35.7331216183014,143.924425092298,source_2
20319,Kilmore East Railway Station (Kilmore East),-37.2932102740378,144.983565994661,source_2
20320,Kyneton Railway Station (Kyneton),-37.2582788510104,144.450601588247,source_2
20321,Lara Railway Station (Lara),-38.0224276368433,144.414404294665,source_2
20323,Little River Railway Station (Little River),-37.9629290891863,144.498484867675,source_2
20324,Longwarry Railway Station (Longwarry),-38.1109921063808,145.766860285292,source_2
