SA2 code,SA2 name,postcode
211051275,Chirnside Park,3116
211051276,Healesville - Yarra Glen,3777
211051277,Kilsyth,3137
211051278,Lilydale - Coldstream,3140
211051279,Monbulk - Silvan,3793
211051280,Montrose,3765
211051281,Mooroolbark,3138
211051282,Mount Dandenong - Olinda,3788
211051283,Mount Evelyn,3796
211051284,Upwey - Tecoma,3158
211051285,Wandin - Seville,3139
211051286,Yarra Valley,3141
212011289,Emerald - Cockatoo,3781
212011546,Beaconsfield - Officer,3807
212011547,Bunyip - Garfield,3815
212011548,Koo Wee Rup,3981
212011549,Pakenham - North East,3810
212011550,Pakenham - North West,3810
212011551,Pakenham - South East,3810
212011552,Pakenham - South West,3810
212021293,Berwick - North,3806
212021295,Doveton,3177
212021297,Hallam,3803
212021299,Narre Warren North,3804
212021453,Endeavour Hills - North,3802
212021454,Endeavour Hills - South,3802
212021455,Narre Warren - North East,3804
212021456,Narre Warren - South West,3805
212021553,Berwick - South East,3806
212021554,Berwick - South West,3806
212031300,Cranbourne,3977
212031303,Cranbourne South,3977
212031304,Cranbourne West,3977
212031306,Lynbrook - Lyndhurst,3975
212031308,Pearcedale - Tooradin,3912
212031457,Narre Warren South - East,3805
212031458,Narre Warren South - West,3805
212031555,Clyde North - North,3978
212031556,Clyde North - South,3978
212031557,Cranbourne East - North,3977
212031558,Cranbourne East - South,3977
212031559,Cranbourne North - East,3977
212031560,Cranbourne North - West,3977
212031561,Hampton Park - East,3976
212031562,Hampton Park - West,3976
212041309,Clarinda - Oakleigh South,3169
212041310,Clayton South,3169
212041312,Dandenong North,3175
212041313,Dingley Village,3172
212041316,Noble Park North,3174
212041317,Springvale,3171
212041318,Springvale South,3172
212041459,Noble Park - East,3174
212041460,Noble Park - West,3174
212041563,Dandenong - North,3175
212041564,Dandenong - South,3175
212041565,Keysborough - North,3173
212041566,Keysborough - South,3173
212051319,Ashwood - Chadstone,3148
212051321,Glen Waverley - East,3150
212051322,Glen Waverley - West,3150
212051323,Mount Waverley - North,3149
212051324,Mount Waverley - South,3149
212051325,Mulgrave,3170
212051326,Oakleigh - Huntingdale,3166
212051327,Wheelers Hill,3150
212051567,Clayton (North) - Notting Hill,3168
212051568,Clayton - Central,3168
213011328,Ardeer - Albion,3022
213011329,Cairnlea,3023
213011331,Delahey,3037
213011332,Keilor Downs,3038
213011333,Kings Park (Vic.),3021
213011334,St Albans - North,3021
213011335,St Albans - South,3021
213011336,Sunshine,3020
213011337,Sunshine North,3020
213011338,Sunshine West,3020
213011339,Sydenham,3037
213011340,Taylors Lakes,3038
213011569,Deer Park,3023
213011570,Derrimut,3026
213021341,Altona,3018
213021342,Altona Meadows,3028
213021343,Altona North,3025
213021344,Newport,3015
213021345,Seabrook,3028
213021346,Williamstown,3016
213031347,Braybrook,3019
