stop_id,stop_name,stop_lat,stop_lon,source_file,postcode
20313,Garfield Railway Station (Garfield),-38.09103062,145.6742247,source_3,3814
20314,Geelong Railway Station (Geelong),-38.14424211,144.3549891,source_3,3220
20315,Gisborne Railway Station (New Gisborne),-37.4588255,144.5987216,source_3,3438
20316,Heathcote Junction Railway Station (Heathcote Junction),-37.37171346,145.0282049,source_3,3758
20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.79483364,144.2489902,source_3,3555
20318,Kerang Railway Station (Kerang),-35.73312162,143.9244251,source_3,3579
20319,Kilmore East Railway Station (Kilmore East),-37.29321027,144.983566,source_3,3764
20320,Kyneton Railway Station (Kyneton),-37.25827885,144.4506016,source_3,3444
20321,Lara Railway Station (Lara),-38.02242764,144.4144043,source_3,3212
20323,Little River Railway Station (Little River),-37.96292909,144.4984849,source_3,3211
20324,Longwarry Railway Station (Longwarry),-38.11099211,145.7668603,source_3,3816
20325,Macedon Railway Station (Macedon),-37.42357331,144.5613969,source_3,3440
20326,Malmsbury Railway Station (Malmsbury),-37.18974032,144.3753232,source_3,3446
20327,Marshall Railway Station (Marshall),-38.198549,144.3550567,source_3,3216
20328,Moe Railway Station (Moe),-38.17690856,146.2605716,source_3,3825
20329,Mooroopna Railway Station (Mooroopna),-36.39912828,145.3582148,source_3,3629
20330,Morwell Railway Station (Morwell),-38.23671876,146.396753,source_3,3840
20331,Murchison East Railway Station (Murchison East),-36.61314794,145.2406356,source_3,3610
20332,Nagambie Railway Station (Nagambie),-36.7854641,145.1603567,source_3,3608
20333,Nar Nar Goon Railway Station (Nar Nar Goon),-38.08159155,145.5716657,source_3,3812
20334,North Geelong Railway Station (North Geelong),-38.12283523,144.3522719,source_3,3215
20335,North Shore Railway Station (North Shore),-38.09837714,144.3653214,source_3,3214
20336,Pyramid Railway Station (Pyramid Hill),-36.05311274,144.1131327,source_3,3575
20337,Riddells Creek Railway Station (Riddells Creek),-37.46512379,144.6798307,source_3,3431
20338,Rochester Railway Station (Rochester),-36.3623605,144.6986813,source_3,3561
20339,Rosedale Railway Station (Rosedale),-38.15640367,146.7869664,source_3,3847
20341,Sale Railway Station (Sale),-38.10310272,147.0548051,source_3,3850
20342,Seymour Railway Station (Seymour),-37.02472873,145.1377286,source_3,3660
20343,Shepparton Railway Station (Shepparton),-36.38379101,145.4064975,source_3,3630
20344,South Geelong Railway Station (South Geelong),-38.15865863,144.358987,source_3,3220
20345,Springhurst Railway Station (Springhurst),-36.1858934,146.470417,source_3,3682
20346,Stratford Railway Station (Stratford),-37.96704739,147.0814694,source_3,3862
20347,Swan Hill Railway Station (Swan Hill),-35.34111357,143.5623432,source_3,3585
20348,Tallarook Railway Station (Tallarook),-37.09233454,145.1029973,source_3,3659
20349,Terang Railway Station (Terang),-38.23621199,142.9114722,source_3,3264
