postcode,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,estimated_2024_population,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile,ERP_2023_change_percentage(%),population_density_2023
3620,11000,10964,10871,10835,10832,10819,10834,10816,10823,10855,10871,10905,10956,10987,11001,11034,11067,11055,11096,11134,11057,11002,10952,-50,-31,-68,49,738.9,10897,916.29,48.0,1.0,10.0,11121.0,972.19,143.0,3.0,28.0,-0.46,14.82
3629,7727,7780,7841,7797,7771,7808,7841,7939,7983,8001,7939,7961,7975,7995,8010,8033,8101,8196,8303,8340,8309,8295,8110,-185,-5,-240,60,40.0,7932,882.69,11.0,1.0,3.0,8312.0,913.69,41.0,1.0,8.0,-2.28,202.75
3630,14857,14878,14878,14745,14615,14690,14869,14996,15302,15513,15607,15840,16001,16086,16128,16261,16370,16433,16513,16706,16573,16476,16494,18,52,-274,240,65.8,16510,891.8,19.0,1.0,4.0,16520.0,898.21,29.0,1.0,6.0,0.11,250.67
3631,34421,34783,35084,35144,35238,35460,35825,36373,37004,37548,37993,38563,39072,39645,40159,40590,41289,42000,42719,43228,43443,44004,44345,341,166,-257,432,2227.4,44690,976.27,184.5,4.25,36.0,43373.0,1017.17,282.25,6.0,55.5,0.77,19.91
3636,12397,12410,12396,12381,12391,12425,12457,12481,12451,12436,12386,12409,12422,12418,12420,12422,12447,12473,12497,12524,12502,12510,12467,-43,25,-112,44,2320.7,12430,927.0,71.0,2.0,14.0,12555.0,984.16,174.0,4.0,34.0,-0.34,5.37
3644,5747,5812,5847,5854,5926,6037,6048,6153,6203,6287,6305,6336,6367,6388,6399,6420,6445,6459,6457,6481,6440,6498,6662,164,-40,150,54,131.7,6829,879.97,10.0,1.0,2.0,6465.0,937.47,68.0,2.0,14.0,2.46,50.58
3660,11200,11118,11103,11003,10865,10715,10761,10731,10746,10772,10770,10768,10788,10894,10876,10890,10988,11075,11123,11146,11179,11161,11231,70,1,-60,129,1768.1,11300,940.7,124.5,3.0,24.5,11214.0,980.37,210.5,4.5,41.5,0.62,6.35
3666,6188,6164,6139,6102,6047,6019,6040,6035,6015,6017,6002,6056,6104,6175,6247,6316,6429,6548,6660,6777,6866,6884,6862,-22,-47,2,23,2057.9,6841,971.7,169.0,4.0,33.0,6922.0,976.13,151.0,3.0,30.0,-0.32,3.33
3672,13879,13877,13863,13816,13763,13755,13768,13778,13827,13864,13886,13907,13937,13958,13984,14043,14120,14230,14308,14452,14507,14541,14608,67,-98,132,33,2420.6,14673,957.99,141.0,3.5,28.0,14603.0,995.93,223.0,4.5,44.0,0.46,6.03
3678,26260,26341,26378,26464,26608,26776,26871,27005,27111,27200,27212,27438,27650,27862,28143,28592,28951,29269,29439,29517,29751,29915,30002,87,-30,-6,123,3645.1,30092,968.7,169.0,3.5,33.0,29807.0,1002.8,242.5,5.5,48.0,0.29,8.23
3685,3432,3462,3494,3534,3572,3626,3661,3693,3716,3731,3739,3768,3795,3818,3857,3907,3934,3976,4012,4029,4021,4056,4116,60,6,36,18,479.8,4178,939.97,101.0,2.0,20.0,4047.0,1001.18,230.0,5.0,45.0,1.46,8.58
3688,2904,2922,2923,2925,2957,2952,2903,2905,2912,2906,2907,2934,2974,3005,3055,3117,3116,3118,3148,3165,3157,3200,3230,30,12,15,3,513.1,3259,939.86,100.0,2.0,20.0,3184.0,1033.73,321.0,7.0,63.0,0.93,6.3
3690,27982,28257,28542,28803,28714,28530,28584,28735,28921,29226,29492,29764,30026,30241,30479,30796,30771,30796,30712,30620,30417,30351,30398,47,114,-277,210,184.2,30448,921.19,58.0,1.5,11.5,30478.0,944.06,95.5,2.0,19.0,0.15,165.03
3691,3982,4224,4453,4725,4883,5065,5253,5422,5733,6061,6533,6994,7549,8128,8744,9304,10066,10745,11372,12046,12790,13365,13878,513,103,319,91,248.8,14405,1015.77,283.0,6.0,55.0,12778.0,1070.98,443.0,9.0,87.0,3.7,55.78
