id,promoType,price,hasVideo,agentNames,brandName,addressStreet,addressSuburb,addressState,addressPostcode,addressLat,addressLng,num_bath,type,formatted,isRural,landSize,Retirement,min_distance_to_university,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_primary_school,min_distance_to_park,min_walking_distance_to_station,nearest_station
17165966,standard,530,False,Winnie Yang,JALIN REALTY AUSTRALIA PTY LTD,704/33 Judd Street,RICHMOND,VIC,3121,-37.81787,144.99548,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,4.96,5.1,0.61,0.69,0.36,0.701,West Richmond Railway Station (Richmond)
17166237,standard,680,False,Kris El-Helou,Biggin & Scott Boroondara,803/8 Montrose Street,HAWTHORN EAST,VIC,3123,-37.822987,145.04619,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,7.65,3.29,0.58,0.66,0.52,0.108,Auburn Railway Station (Hawthorn East)
15096132,premiumplus,610,True,Kim Te,Motion Property,1113/2 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
15242434,premiumplus,620,True,Angus Brayshaw,Richardson & Wrench Projects Victoria,1505/8 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
15336283,premiumplus,500,False,Angus Brayshaw,Richardson & Wrench Projects Victoria,604/6 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
15422303,premiumplus,500,False,Kim Te,Motion Property,1405/4 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
15459474,premiumplus,510,False,Kim Te,Motion Property,813/4 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
15472399,premiumplus,510,True,"Kim Te, Mary Mezei",Motion Property,502/4 Joseph Rd,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
15602706,premiumplus,500,False,Kim Te,Motion Property,1002/4 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
16045484,premiumplus,620,False,"Kim Te, Mary Mezei",Motion Property,703/8 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
16140206,premiumplus,520,False,"Kim Te, Mary Mezei",Motion Property,505/4 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
16554829,standardpp,490,True,"Kim Te, Mary Mezei",Motion Property,401/4 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
16633591,premiumplus,510,False,"Kim Te, Mary Mezei",Motion Property,205/6 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
17115590,standardpp,400,False,"Laura Scott, Alexander Gorejena",aussieproperty.com,1/23-25 Steet Street,FOOTSCRAY,VIC,3011,-37.78856,144.88774,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.51,2.49,1.07,0.75,0.86,2.099,West Footscray Railway Station (West Footscray)
17159503,standardpp,175,False,Create Rentals,Create Real Estate,Rooms 1-4 of 2/1 Beevers Street,FOOTSCRAY,VIC,3011,-37.797283,144.90817,2.0,House,House,False,0.0,False,1.0,4.07,1.36,1.37,1.33,1.161,Footscray Railway Station (Footscray)
17159697,standardpp,595,True,Claire Spring,Nicholson Real Estate,803/1 Joseph Road,FOOTSCRAY,VIC,3011,-37.798725,144.91014,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.82,4.58,1.55,0.64,0.28,1.123,Footscray Railway Station (Footscray)
17163016,premiumplus,620,False,"Kim Te, Mary Mezei",Motion Property,1606/6 Joseph Road,FOOTSCRAY,VIC,3011,-37.800327,144.90956,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.78,4.55,1.52,0.61,0.39,0.895,Footscray Railway Station (Footscray)
