STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
20022,-37.799251,Tottenham Railway Station (West Footscray),144.862945,1,Sunbury,POINT (311851.4816245327 5814308.4599069785)
20023,-37.801803,West Footscray Railway Station (West Footscray),144.883985,1,Sunbury,POINT (313710.5143853912 5814067.438949555)
20024,-37.802505,Middle Footscray Railway Station (Footscray),144.891472,1,Sunbury,POINT (314371.48129165673 5814004.442333655)
20025,-37.801083,Footscray Railway Station (Footscray),144.903199,1,"Werribee,Williamstown,Sunbury",POINT (315400.4665422245 5814185.4729644125)
20026,-37.799531,South Kensington Railway Station (Kensington),144.925469,1,"Williamstown,Werribee",POINT (317357.48780145205 5814401.4574780185)
20030,-37.683049,Broadmeadows Railway Station (Broadmeadows),144.919613,2,Craigieburn,POINT (316554.49096028006 5827315.506809755)
20031,-37.695131,Jacana Railway Station (Glenroy),144.915851,2,Craigieburn,POINT (316252.5529358001 5825967.4491815185)
20032,-37.704536,Glenroy Railway Station (Glenroy),144.91722,"1,2",Craigieburn,POINT (316396.4470635009 5824926.507461333)
20033,-37.71795,Oak Park Railway Station (Oak Park),144.921519,"1,2",Craigieburn,POINT (316808.513445299 5823446.446711233)
20034,-37.730756,Pascoe Vale Railway Station (Pascoe Vale),144.928196,"1,2",Craigieburn,POINT (317428.5196434504 5822038.470791129)
20035,-37.743591,Strathmore Railway Station (Strathmore),144.927316,1,Craigieburn,POINT (317382.5245404333 5820612.512756071)
20036,-37.74721,Glenbervie Railway Station (Essendon),144.920939,1,Craigieburn,POINT (316829.5251802731 5820198.461085815)
20037,-37.756012,Essendon Railway Station (Essendon),144.916198,1,Craigieburn,POINT (316433.52383733296 5819212.444111763)
20038,-37.765707,Moonee Ponds Railway Station (Moonee Ponds),144.919161,1,Craigieburn,POINT (316718.52086639835 5818142.432626695)
20039,-37.775306,Ascot Vale Railway Station (Ascot Vale),144.921821,1,Craigieburn,POINT (316976.51889318414 5817082.485120448)
20040,-37.787328,Newmarket Railway Station (Flemington),144.928978,1,Craigieburn,POINT (317636.44028266624 5815762.4347901475)
20041,-37.79378,Kensington Railway Station (Kensington),144.930524,1,Craigieburn,POINT (317788.4593196545 5815049.494862005)
20042,-37.819222,Box Hill Railway Station (Box Hill),145.121429,2,"Lilydale,Belgrave",POINT (334655.5109414909 5812581.428280583)
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",POINT (319686.46021939896 5812409.5175623335)
